Defect,Category
Alternaria ,indirect
Bird Damage,independent
Black Rot ,indirect
Black Spot,indirect
Blemish Cosmetic,indirect
Blotch,independent
Blue mould (penicilin),indirect
Bronze Beetle Damage,indirect
Bruise (fresh),indirect
Bruise (OLD),indirect
Calyx Split,indirect
Cracking,indirect
Cuts,indirect
Dry Botrytis,indirect
Elongated ,independent
Export fruit,independent
Eye Rot/Canker rot ,indirect
Frost Damage,indirect
Glomerella  (Bitter Rot),indirect
Grey mould (Botrytis),indirect
Hail,independent
Insect Damage,independent
Leaves,independent
Lenticle Breakdown,indirect
Lenticle Burn,indirect
Lenticle Spot,indirect
Low Colour,independent
Major Bruise (spoilt),indirect
Misshapen,independent
N.Alba,indirect
Noctuid Damage,independent
Over Maturity,indirect
Over Size,independent
Parrot Beak,independent
Phytophthora ,indirect
Pit,indirect
Puncture,indirect
Rose Weevil Damage ,indirect
Rot (Botrytis),indirect
Russet,independent
Scald,direct
Scarf Skin,independent
Shrivel,direct
Spray Residue,independent
Stem end browning,direct
Stem End Rot,indirect
Stem Split,indirect
Stem Tear,independent
Sting,independent
Sunburn,independent
Surfaces Deposits,independent
Tree Damage,independent
Under Size,independent
Variety Mark,independent
WHITE ROT,indirect
Wrong Variety ,independent
